Lemma	Count in book	Count in Hebrew Bible	Gloss
שָׂרַר	1	6	be|act as|prince|rule
מַחֲבֵא	1	1	hiding-place
עִלֵּג	1	1	speaking inarticulately
שׁוֹעַ	1	2	free|independent|noble
חֹ֫נֶף	1	1	profaneness
תּוֹעָה	1	2	wandering|error
רִיק	1	19	make empty|empty out
מַשְׁקֶה	1	6	irrigation|drink
זִמָּה	1	29	plan|device|wickedness
פָּשַׁט	1	43	strip off|make a dash|raid
סָפַד	1	32	wail|lament
עֹ֫פֶל	1	3	mound|hill
בַּ֫חַן	1	1	watch-tower
פֶּ֫רֶא	1	10	wild ass
מִרְעֶה	1	13	pasturage|pasture
מִבְטָח	1	15	confidence
בָּרַד	1	1	hail
שִׁפְלָה	1	1	humiliation
נלה	1	1	
רוֹמֵמוּת	1	1	uprising|arising
חָסִיל	1	6	locust
מַשָּׁק	1	1	running|rushing
גֵּב	1	1	locust|swarm|collection
חֹ֫סֶן	1	5	wealth|treasure
אֶרְאֵל	1	1	heroes
מַשְׂרֵפָה	1	2	a burning
שִׂיד	1	4	lime|whitewash
כָּסַח	1	2	cut off|away
רְעַדָה	1	3	
מוֹקֵד	1	2	burning mass
מַעֲשַׁקָּה	1	2	extortionate act
אטם	1	8	shut|shut up
מְצָד	1	10	fastness|stronghold|hunting-place
אֵימָה	1	17	terror|dread
יָעַז	1	1	a barbarous|people
עָמֵק	1	4	deep|unfathomable|unintelligible of speech
צָעַן	1	1	wander|travel
אֳנִי	1	7	ships|fleet
צִי	1	4	ship
כֵּן	1	17	base|pedestal|office
עַד	1	3	booty|prey
שָׁכֵן	1	21	inhabitant|neighbor
בְּאֹשׁ	1	3	stench
מָקַק	1	10	decay|rot|fester|pine away
כִּלְיָה	1	31	kidneys
רְאֵם	1	9	wild ox
שִׁלּוּם	1	3	requital
קָאַת	1	5	pelican
יַנְשׁוּף	1	3	strident
עֹרֵב	1	10	raven
בֹ֫הוּ	1	3	emptiness
חֹר	1	13	noble
סִיר	1	5	thorn|hook
קִמּוֹשׂ	1	2	thistles|nettles
חוֹחַ	1	11	brier|bramble|hook|ring|fetter
חָצִיר	1	1	settled abode|haunt
פָּגַשׁ	1	14	meet|encounter
לִילִית	1	1	Lilith|night-hag
מָנוֹחַ	1	6	resting-place|state|condition of rest
קִנֵּן	1	6	make a nest|nest
קִפּוֹז	1	1	arrow-snake
דָּגַר	1	2	gather together as a brood
דַּיָּה	1	2	
חֲבַצֶּלֶת	1	2	meadow-saffron|crocus
רָפֶה	1	4	slack
דָּלַג	1	5	leap
אַיָּל	1	11	hart|stag|deer
צִמָּאוֹן	1	3	thirsty ground
מַסְלוּל	1	1	highway
פָּרִיץ	1	6	violent one
בִּטָּחוֹן	1	3	trust|hope
מָרַד	1	25	rebel
מִשְׁעֶ֫נֶת	1	11	staff
פֶּחָה	1	28	governor
אֲרָמִית	1	5	in Aramaic
חֶרֶא	1	1	dung
שַׁ֫יִן	1	2	urine
סוּת	1	18	incite|allure|instigate
תּוֹכֵחָה	1	4	rebuke|correction
נְאָצָה	1	2	contempt|contumely
מַשְׁבֵּר	1	3	place of breach
לִבְנָה	1	18	
תִּרְהָקָה	1	2	
גּוֹזָן	1	5	
חָרָן	1	10	
רֶ֫צֶף	1	2	
עֶ֫דֶן	1	3	
תְּלַאשָּׂ֑ר	1	2	
הֵנַע	1	3	
עַוָּה	1	4	
כְּרוּב	1	91	cherub
אָמְנָם	1	9	verily|truly
